31	30	ประเภทรายการ คือ ประเภทของการเคลื่อนไหวสินค้า/เอกสารในระบบ ใช้ควบคุมขั้นตอนการทำงาน (Flow), การเปิด-ปิดฟิลด์ในเอกสาร, รวมถึงเป็นตัวกำหนดรูปแบบการบันทึกบัญชี ข้อมูลนี้จะถูกนำไปใช้ในการ (1) บันทึกบัญชีตาม Movement Type ที่ผูกไว้ใน Master data (2) อ้างอิงในเอกสารถัดไปในกระบวนการ (3) ใช้แสดงในรายงานต่างๆ ของระบบ
32	30	ประเภทรายการย่อย คือ ประเภทเอกสารย่อยในระบบ ซึ่งจะสอดคล้องกับ Movement Type หลัก เช่น DT-GR-01, DT-GI-18 ข้อมูลนี้จะถูกนำไปใช้ในการ (1) จำแนกประเภทเอกสารในรายงาน (2) กำหนดเงื่อนไข workflow และการอนุมัติ (3) แสดงในเอกสารอ้างอิงถัดไป
32	23	:SUFFIX:TXDATE,:SUFFIX:TXNO,:SUFFIX:STATUS,:SUFFIX:REFDOCNO,:SUFFIX:REFDOCDATE
33	30	รหัสลูกค้า การกรอกนี้มีผลต่อการอ้างอิงและเชื่อมโยงข้อมูลลูกค้า
34	30	ชื่อลูกค้า อ้างอิงจาก Master data คู่ค้า ข้อมูลนี้จะถูกนำไปใช้ในการ (1) ออกใบกำกับภาษี (2) บันทึกบัญชีลูกหนี้ (3) แสดงในรายงานภาษีขาย
35	30	ผู้รับเอกสาร การกรอกนี้มีผลต่อการตรวจสอบและรายงาน
36	30	วันที่รับเอกสาร การกรอกนี้มีผลต่อการตรวจสอบและรายงานการรับเอกสาร
37	23	:SUFFIX:REMARK
38	30	ประเภทเอกสารต้นทางที่อ้างอิงในการสร้างเอกสารนี้ (เช่น อ้างอิงจาก PO, SO, IB) ข้อมูลนี้จะถูกนำไปใช้ในการ (1) เชื่อมโยงเอกสารใน Document Flow (2) ดึงข้อมูลอัตโนมัติจากเอกสารต้นทาง (3) ตรวจสอบความถูกต้องของกระบวนการ
39	30	เลขที่เอกสารต้นทางที่อ้างอิง ข้อมูลนี้จะถูกนำไปใช้ในการ (1) เชื่อมโยงเอกสารใน Document Flow (2) ดึงข้อมูล (สินค้า ราคา จำนวน) อัตโนมัติจากเอกสารต้นทาง (3) ตรวจสอบยอดคงเหลือที่ยังไม่ได้ดำเนินการ
40	30	เลขที่เอกสารที่เคยสร้างไว้แล้วในระบบ การกรอกนี้มีผลต่อการตรวจสอบว่ามีเอกสารซ้ำหรือไม่ และอ้างอิงเอกสารที่มีอยู่
41	30	สิทธิ์ของเจ้าของเอกสารต้นทาง การกรอกนี้มีผลต่อการกำหนดสิทธิ์การเข้าถึงเอกสารตามลำดับชั้น
42	30	สิทธิ์ของผู้ใช้งานเจ้าของเอกสาร ใช้กำหนดว่าใครสามารถดู/แก้ไข/อนุมัติเอกสารนี้ได้ การกรอกนี้มีผลต่อการบันทึกบัญชี การออกเอกสารต่อ และการแสดงในรายงานต่างๆ ของระบบ
42	23	:SUFFIX:TXTYPE
40	22	true
